seconds,lat_1,lon_1,dbe_1,dbn_1,dbu_1,lat_2,lon_2,dbe_2,dbn_2,dbu_2,lat_3,lon_3,dbe_3,dbn_3,dbu_3,lat_4,lon_4,dbe_4,dbn_4,dbu_4,sat_lat,sat_lon,dbe_measured_1,dbn_measured_1,dbu_measured_1,cov_ee_1,cov_nn_1,cov_uu_1,cov_en_1,cov_eu_1,cov_nu_1,dbe_measured_2,dbn_measured_2,dbu_measured_2,cov_ee_2,cov_nn_2,cov_uu_2,cov_en_2,cov_eu_2,cov_nu_2,dbe_measured_3,dbn_measured_3,dbu_measured_3,cov_ee_3,cov_nn_3,cov_uu_3,cov_en_3,cov_eu_3,cov_nu_3,dbe_measured_4,dbn_measured_4,dbu_measured_4,cov_ee_4,cov_nn_4,cov_uu_4,cov_en_4,cov_eu_4,cov_nu_4
0,60.689750851248135,42.44775741551959,6.515665468109121,11.40392749283272,-1.0810469,61.30139019936628,51.80279584822658,6.394666416806674,19.42633323123598,-7.144229,61.35692670469667,54.67056613363721,5.8450144868729526,21.482398483868092,-8.738156,61.314603927871154,59.46939688042076,3.682830257050841,24.260404756390404,-11.155371,61.12656597771069,51.7200904637483,81.20405863404562,-348.8935842775193,-185.20784042720118,34314.59144756607,33399.88079263884,13676.238052967221,2606.787509709522,-16328.929161047485,1690.962201465103,190.62897168940654,154.7529079594213,-0.5809135154250242,76223.90517718773,128377.6748376786,17250.19795484362,-2216.5223047170293,-23807.749240129986,2870.338247458005,233.91912234335152,448.1771870113494,18.563511595503414,61067.73842777793,72884.13484283436,13749.786798389798,5482.894046989639,-17351.441077609954,-1160.3119313828113,255.30249221255468,-136.8711033590766,-61.3203898824182,33866.040724979546,45939.95658836883,6169.143012551404,3939.2640654078477,-6626.210084079715,185.0059825369863
3,60.87027904843548,42.36975333183244,6.778299781684716,11.706775501793212,-0.7136565,61.48450072914159,51.77941798077189,6.733694922323787,19.75602479787764,-7.112635,61.53982538588428,54.66446902477557,6.113643384029835,22.09413609841978,-8.84614,61.49606080307798,59.492040869628156,3.9129978762113287,24.819304929534283,-11.307959,61.310098585598524,51.69607610747954,-1.5180568999918052,-246.70412879467563,-170.58976810911875,34276.721255248434,33256.709465903456,13518.978257326731,2589.935527847872,-16215.7586533511,1691.902473861515,328.7233271938154,-440.0306691446099,-223.71126113938303,76487.02367002766,129128.12288752488,17105.168311457255,-2164.152228123534,-23724.346901713718,2846.063334003571,495.8077374334692,165.95948704000966,100.10359149881515,61063.581397831666,72610.86064666929,13621.66405943547,5547.703291755438,-17226.33519477345,-1175.8812888889506,-88.67333217652558,-150.8516006109238,-35.698447570107355,33749.38033673301,45731.24089822839,6101.37152719397,3936.876859394854,-6535.624973756422,191.50657500104882
6,61.0507702985505,42.29087023428569,7.056284245919391,12.003171322318323,-0.31286559,61.66759172955662,51.75589719508483,7.143371657483096,20.035194954771104,-6.969583,61.72269047987191,54.658451939805616,6.518935522212506,22.46826236231611,-8.819101,61.677460109043025,59.51512133882178,4.1901272882057565,25.39669198476718,-11.401842,61.493622161586245,51.67191402291605,-65.9122125956063,-234.86935747015286,-91.44566135272618,34238.20948517812,33114.45258786619,13363.6539445965,2573.0051250990955,-16102.665799504797,1693.4870641665318,-33.7448618049315,36.12969413803779,-28.04333160271513,76754.73609421193,129886.39724150342,16961.312349996104,-2109.751700341963,-23641.311154649702,2822.908988387219,254.52304081340654,-196.8891264629516,-51.77297952204442,61056.614293338884,72334.78252710626,13494.702472532488,5609.639952110692,-17102.49919142146,-1194.2478103431147,74.08459935154654,365.35703452348605,160.30301479305518,33632.80748216066,45522.79575240597,6034.6013280697225,3934.301552090243,-6446.258029106511,197.10509068083854
9,61.23138613327154,42.21106638209118,7.377089122341536,12.287046361879954,0.16130975,61.85067441134606,51.732232452407665,7.465213333354603,20.549996988515282,-6.8795176,61.9054802556241,54.65251954750729,6.929706684294058,22.832799038871478,-8.796026,61.85868539339655,59.53868533358775,4.465326385977066,25.978624746299086,-11.498236,61.677134280545616,51.64759015846799,-3.5782501337955583,-40.76363241323482,145.4059174299902,34198.90181417017,32972.65997347456,13209.8612709528,2556.7285789275597,-15989.33803130228,1695.143910507284,-627.441935629958,-13.23554818534715,-52.36006731062601,77029.12602604037,130661.53418385987,16820.156316952474,-2056.343995951467,-23561.013561823584,2799.8311622041533,159.0819074403407,-35.38050114170968,-6.489576258847421,61048.40968250355,72057.93480403507,13369.009327303385,5670.538624282427,-16977.797249700838,-1209.272431829933,-82.83474866981722,137.14603489759372,49.49754487854849,33515.90327123653,45315.504167445644,5968.796953193329,3931.4580556191945,-6357.301130686682,203.4366245369016
12,61.41185466193303,42.13041018903567,7.692133481537434,12.574093687287212,0.6425576,62.033752396809604,51.70843277750306,7.890973569976813,20.82270280037277,-6.662763,62.08830563056604,54.64671029875592,7.2570982127990575,23.44029479517708,-8.704131,62.03997363035964,59.56276314250878,4.657093839681745,26.865851098466973,-11.649875,61.860645580220464,51.62313150812391,239.11630016520587,-116.24582426409063,-43.72684322441408,34158.451669319824,32831.34936893456,13057.81180216974,2539.4890228472177,-15876.563088222714,1696.3269343750032,161.41627930660806,589.9273308890918,227.77954469460627,77312.00109189966,131449.7114721037,16680.569975783932,-1998.0890248769633,-23481.330603221162,2779.7921923276494,7.435896532487856,-184.96516763241442,-60.47252991149249,61039.41926307105,71783.07107329532,13244.65582848874,5730.065376423831,-16853.4127256054,-1223.9268727653725,-195.74485669141384,400.2908435641581,182.5389980550213,33399.6596987312,45108.92761242342,5903.969621082414,3928.780599491947,-6269.070791368674,209.61942132751554
15,61.59204277303576,42.04897752860142,8.016898123486197,12.860372513789105,1.2375054,62.21681875053959,51.68447433993379,8.236025697496089,21.382943232869156,-6.3422494,62.271174265844195,54.64097677868329,7.712755208590538,23.791621538227883,-8.474988,62.2214246031408,59.5873480309459,4.960826368029752,27.55103588794628,-11.654932,62.044146185527055,51.598508929495374,-52.380883791642816,-23.874447610300905,37.376442118174616,34117.11358095592,32690.756445399395,12907.803875356325,2521.9182701328746,-15763.881177813633,1698.470378375992,-88.14697097066835,421.9592162778948,173.24987993544545,77598.57664773425,132248.29029174073,16542.284610207193,-1941.1865591272353,-23402.395553668295,2760.137436763127,341.30003319376556,64.37657082971099,-183.7521076922995,61031.57526058453,71508.48384547122,13121.976026560686,5789.62331711029,-16729.80635883521,-1238.3547646592367,-136.12478590207638,-30.595928622574007,42.60665684380558,33284.2787732866,44902.90520877479,5840.183725050514,3926.7614018658246,-6181.437668950777,215.784303527914
18,61.7694942458689,41.96787037215105,8.345547509792642,13.143508865105828,1.9262695,62.399846787322915,51.66036746315108,8.691825814237335,21.64513924716785,-5.968008,62.45485336069861,54.63531588069439,8.17618724446473,24.128287156966845,-8.24303,62.40501930157717,59.61273771488766,5.266969707693639,28.24679848028137,-11.663275,62.22763914098672,51.573722115121214,-27.206181170494286,-16.50669342205554,49.30697896747564,34072.570419266274,32548.886666634222,12760.72842785727,2499.2813275495655,-15651.128424286078,1705.4790226920975,-783.4947407143393,-623.892364513039,-207.3503710547423,77894.00992368726,133067.33312956954,16406.743017181947,-1881.0790447044037,-23326.552818356085,2738.098822659105,167.6157571998131,356.06968163839207,93.39636430070502,61045.73251207631,71244.46597570031,13003.313517210381,5858.928525713626,-16613.906067263677,-1258.2947283059057,368.21579073062185,-92.54661265220862,-118.20377769972637,33174.350015994445,44697.43561140118,5777.587970501538,3928.87988877435,-6095.248284892849,217.58440309306474
21,61.95584432042598,41.88156516389315,8.682877261678966,13.456689781886896,2.6560967,62.58288521430684,51.63596586508553,9.149172811306958,21.961937741153225,-5.370708,62.63576849545139,54.62970369789511,8.493962840407868,24.899766362648833,-7.794552,62.58126751939101,59.637493170178765,5.57390321259197,29.000232040907164,-11.575719,62.4111342842903,51.548638053354665,54.58805604600322,222.65266531963317,117.20255192952088,34035.33829487247,32413.541867955453,12611.244605139535,2492.901471629672,-15539.408742684027,1696.5016771813869,323.57727631230273,-45.44972646567115,24.146663434102464,78198.37131619698,133896.5693339447,16272.67090639951,-1825.5474061731588,-23252.092737086758,2720.957492421674,264.8734046302683,209.04735014545713,-42.97862056815592,60983.86803556371,70944.61027763666,12876.67007912833,5891.110458213546,-16472.7869365931,-1255.3871960918373,-169.11658126691117,-136.28929878233836,-85.54934457739762,33046.66173267295,44495.74845913259,5714.944996085558,3915.990514270965,-6008.568204182796,231.48442918257155
24,62.13284733759579,41.79891723352573,8.970651638628489,13.824659445824217,3.5880344,62.76588886176611,51.61170599548776,9.468441255516508,22.702498656525957,-4.7019615,62.81951957773932,54.62441102480687,8.958737669571438,25.353768168839462,-7.2386646,62.76508920732013,59.66415601365234,5.891318447780537,29.829003848087872,-11.4612465,62.59460575981551,51.52368491696591,-151.93133272121406,-196.80072846608965,-113.62485907370686,33989.20833759204,32272.501336261706,12467.720821603341,2469.587046418816,-15426.96457443662,1704.4796300227888,-287.7526224360132,312.16321900347054,121.7748424960713,78507.54461030646,134741.42379016304,16140.283681180603,-1763.3324128159006,-23178.964268975702,2700.2068446527333,195.87669719407222,-63.39406054006679,-112.90839730884952,60999.36507700621,70679.70960960258,12760.745016950756,5958.918471983509,-16358.045887659688,-1274.8617235207787,-105.2392519193263,-221.1455196943541,41.70410785199997,32938.14464054389,44292.139886231314,5654.270805810314,3919.0819321355434,-5923.277259321121,233.83666297744603
27,62.31301087014441,41.71364079592032,9.248006005607309,14.235319864641468,4.6103764,62.948899436688684,51.58713705020102,9.927097483144367,23.048474394976534,-3.9479222,63.00226429525854,54.619093921984046,9.419610127453225,25.858334264085286,-6.579591,62.946251313284186,59.69082313074313,6.206931050693564,30.636468999382576,-11.347403,62.77807840819736,51.49841273741379,216.80783403418144,75.69484600546714,-4.238925676882275,33944.975476761494,32134.318019175662,12324.423449362335,2451.674000478377,-15315.175828739886,1706.6056091035202,682.9756340865576,-10.019724881367438,6.490132841280179,78825.29555747604,135602.66948873125,16009.816968625413,-1702.0075242781807,-23107.81169463663,2680.061954788642,-92.78563016276252,-20.86547124521514,8.954834073748813,60986.85424562992,70404.47027414097,12643.023908049066,6012.949677612909,-16234.459686409538,-1285.3663060313947,-85.86350775066174,22.630783572452827,11.39870059026552,32823.811777700634,44090.10234225715,5594.24331444589,3916.6702022633604,-5838.554376402262,240.25220836860134
