seconds,lat_1,lon_1,dbe_1,dbn_1,dbu_1,lat_2,lon_2,dbe_2,dbn_2,dbu_2,lat_3,lon_3,dbe_3,dbn_3,dbu_3,lat_4,lon_4,dbe_4,dbn_4,dbu_4,sat_lat,sat_lon,dbe_measured_1,dbn_measured_1,dbu_measured_1,cov_ee_1,cov_nn_1,cov_uu_1,cov_en_1,cov_eu_1,cov_nu_1,dbe_measured_2,dbn_measured_2,dbu_measured_2,cov_ee_2,cov_nn_2,cov_uu_2,cov_en_2,cov_eu_2,cov_nu_2,dbe_measured_3,dbn_measured_3,dbu_measured_3,cov_ee_3,cov_nn_3,cov_uu_3,cov_en_3,cov_eu_3,cov_nu_3,dbe_measured_4,dbn_measured_4,dbu_measured_4,cov_ee_4,cov_nn_4,cov_uu_4,cov_en_4,cov_eu_4,cov_nu_4
0,69.15852139427788,136.19398552197333,-14.468756625590126,66.3860164499988,-125.54022,71.15953129766143,148.55517287324807,-3.053386669206354,7.399682424665662,-250.7897,71.58220855510973,152.71929918950053,18.556006659091597,-51.28599417170296,-285.58347,72.07520343270495,160.04043284072222,16.20178853581577,-171.29728738344713,-305.88226,71.08989596983713,148.45697629324627,-7.883329204906985,22.395212553091227,-181.67923440321857,23711.679081026243,19092.65588892268,2958.6284011917123,-463.6515920404686,-4694.681067461471,-497.2376562649769,-1395.9052979165533,29.38347142168999,-313.7837521617697,588419.6251516781,438509.923557839,8146.1778617039845,-158311.406884479,-17959.90617185076,-27361.434854305997,475.3983154078206,-3.6870633462032743,-306.39780771059776,102621.58757265251,62571.8007125595,5544.583983397633,-7336.674578039888,-3446.102593855597,-5260.200595526007,169.8891647811421,-58.48259335523983,-262.7881401445585,28903.265592344484,27910.0666680667,3083.2752316706274,5320.927335713737,1489.0058080998313,-1557.1737482837173
3,69.31534540937204,135.92404355218818,-15.408339643541451,70.4888317309072,-133.34512,71.33096200416574,148.3647504777623,1.670278694699421,-10.934744344702143,-266.17816,71.75676216835161,152.56357910328302,22.785724684117618,-77.17523939316612,-291.93787,72.25298591749777,159.95216839773119,15.606058917445583,-196.76172603004287,-295.2104,71.26228722195256,148.26509743094778,-229.55294789186883,27.05306000316709,-183.01643660383093,23660.71680813134,19046.652362163226,2946.7933245777826,-478.48897931250036,-4672.650786376958,-483.99504921293664,-1571.656059682915,-295.00077908636706,-394.17690725887167,590136.5626808669,437341.8993291849,8127.30943674237,-157756.93915012552,-17820.827203640816,-27409.2795528065,251.11896477769758,-188.86432428823517,-346.66459119816716,102332.55971563634,62500.35710395607,5530.337423648986,-7501.36021479672,-3370.087838144081,-5258.696037077579,-57.6194123625213,-248.15451324433508,-284.4343368111939,28843.886857273683,27822.96618819279,3080.339156732608,5313.068119415785,1502.0020886448406,-1556.3199707214906
6,69.4714493431425,135.65082109741806,-16.282644028747917,74.34540524302892,-141.33458,71.50222302355543,148.171154296019,7.124265286605667,-32.56874552630373,-276.96274,71.93132509166723,152.40516004723958,26.66722068000774,-102.97483883972811,-295.7181,72.43105325306644,159.8624190575234,13.515454471488603,-219.22647920586365,-281.8876,71.4345063296356,148.07001515922545,-96.37226840836308,20.710974727970935,-137.8933995808142,23610.679231982933,19002.137773987994,2935.217803947799,-494.1284892756011,-4650.963869439192,-470.1048390984734,110.82090855303306,-2.4833260313711207,-401.96655044398284,591749.1290246686,436184.2140119651,8109.964280762583,-157196.30496337332,-17681.564490067212,-27462.805830919384,26.405542864329448,-68.34411902466013,-187.30846755470327,102038.80642200791,62431.475674941066,5516.553129347375,-7670.901161745561,-3296.192377967636,-5259.334579755138,68.09469475310914,21.361952933560403,-258.5266676009862,28786.738341210323,27734.806543095972,3077.6113641243637,5304.907481563967,1515.2649450857623,-1554.8596552605604
9,69.6270544603619,135.3737850557349,-16.212022706478482,78.71136855912174,-153.11452,71.6733294685919,147.97435520354495,13.266675402522386,-57.53570281682709,-282.98245,72.10580786093064,152.24402067677718,29.00145854221659,-129.38182266157543,-290.3368,72.60914182365885,159.77121051749094,9.335860205159758,-237.67153609946288,-264.75256,71.60655440686519,147.87166187322524,-47.752368307329824,-68.79718416411285,-212.88523070642566,23561.266875478042,18959.132516849946,2923.868170651224,-510.2340140546524,-4629.633284072717,-456.0966877528725,15.443279217825022,-883.098131079805,-295.5212499605208,593263.9520797026,435021.2332820027,8091.624529775285,-156621.8975768301,-17547.450009514843,-27501.841056596215,-403.963124873968,-134.45277676349005,-303.249211993548,101747.94521293028,62368.63769450633,5503.131137188107,-7839.962782737787,-3222.705385633578,-5258.105175499264,137.2296770761256,-411.5011927605513,-358.0712534618442,28731.572793536016,27647.370262915745,3074.9186391965823,5297.0208017608575,1527.5221254090732,-1554.5727415933306
12,69.76755481099272,135.11768268984218,-16.44333903224185,80.20088644593542,-165.66145,71.84419163956616,147.77213532392562,20.72393849971598,-80.66263802740765,-295.2653,72.28517986743591,152.0732960487417,31.547119454215725,-156.21638330800317,-284.9487,72.80098793979244,159.66920673223038,5.6265979233713175,-258.72723856453274,-250.96713,71.7783999947327,147.6679246099768,-52.66317281925262,162.7878919187004,-189.51579641035838,23515.159339506798,18924.592835044743,2910.6813542543914,-542.5526312487655,-4604.135520927328,-432.71921934082263,-195.08028366282775,-872.9028994342641,-423.53600946722736,594613.3714040797,433841.5439029521,8072.539491246269,-156034.15185265423,-17412.510185546635,-27530.389294467885,362.2634008699416,-595.0897547992513,-259.5779598136058,101429.71490115041,62412.321071223196,5490.062723441008,-8207.841083167794,-3137.853432636413,-5260.564493497637,220.6984207210016,-31.51736567732121,-236.09970121642624,28716.71652222301,27511.906525027785,3073.7748196349535,5284.9441862660915,1540.518025311909,-1561.5397577567323
15,69.9368002306023,134.80799683935652,-16.517970492754817,81.49380319836979,-180.73665,72.01493014884471,147.57053176070434,25.766132886492674,-106.06322896805722,-294.58936,72.4544601809934,151.91323395747736,34.02266575044129,-179.91292821406637,-282.8322,72.96538309539228,159.58429444846755,0.23136823233826384,-271.1341192565649,-234.31525,71.95008242498398,147.46471609337772,-181.55849564957708,-25.943987378909227,-295.4853963918287,23464.440708677794,18876.838743477423,2901.9078215772147,-544.2990990527153,-4588.146128514335,-427.2354164998705,916.0778621692526,-240.58403706467357,-291.43017779117014,596011.8470914384,432737.5501157437,8055.654929403489,-155464.37205948526,-17284.854045509925,-27568.367402330914,347.38393596474896,-275.2774789632372,-215.51673496711305,101165.94190729193,62253.36783331419,5477.74020266554,-8179.577968672224,-3081.7482059513663,-5258.428719250959,268.7890951989512,-176.08297357236896,-208.5255145732783,28625.873390794368,27473.975380914148,3070.0437543763655,5281.028694201182,1552.3333196794676,-1553.0333977620126
18,70.09147117194406,134.5180722602879,-14.810020132219488,82.05750542710273,-197.35275,72.18546039487478,147.3634052337366,29.703746990566312,-131.39721811386482,-288.68686,72.6284604142326,151.74364721539305,32.17602098069786,-200.69398973960946,-268.61383,73.14303114516379,159.4887874878304,-6.272691121294235,-282.0915637030386,-216.1552,72.12155536574873,147.2559440203421,-59.721062289779006,32.70321534315208,-269.8253724719639,23416.84049612439,18837.488872803373,2891.371577713711,-561.6513236552495,-4568.088983429623,-412.7203518454916,182.6044066630118,-184.06311811639196,-398.6109884152935,597231.5129093998,431593.6177715514,8038.907556893777,-154895.37666492956,-17155.838221601978,-27600.668975885983,83.57049252567647,-264.6687000817987,-309.6579646941806,100875.22904399304,62195.34083117932,5465.718634406728,-8343.921240691952,-3014.016273178289,-5259.05130279157,158.81176455188964,-299.00164121389486,-228.5988055483335,28574.28566685969,27389.80258790081,3067.735130809364,5273.020097734283,1564.0501032394077,-1552.6841087335442
21,70.24645347843376,134.2223750690983,-12.238189266015096,76.23583451462329,-214.87843,72.35577682519028,147.1526161642746,33.66998890893071,-156.38784071851308,-282.80807,72.80206636518572,151.57128080481414,30.535322069328323,-221.2967289356065,-254.80515,73.31988145318684,159.3920357412828,-12.56476908988391,-293.18985407142657,-198.47975,72.29282713241524,147.04349469498322,158.23564101168375,56.936206122543865,-279.7977189568868,23369.92701877168,18799.01569574925,2881.193064904273,-578.3720905513945,-4548.64026128441,-398.1938801158963,541.4075155752847,-1119.5356199994421,-473.66494527674104,598375.3233975881,430483.64343834517,8023.213490036231,-154312.04592653806,-17035.398856290627,-27633.069202787494,549.4941970366248,-582.2483150418159,-368.9446736341165,100588.77062418229,62138.0389148024,5454.128011976618,-8496.427855407814,-2948.6032507980076,-5259.055782936474,56.982474018048855,-491.06070462014316,-136.2038254819807,28521.998641922215,27309.208491834386,3065.526418958652,5265.300478617131,1575.9170332222113,-1551.3350457294864
24,70.39947857157975,133.92521635140244,-9.45032617003876,70.04320384783118,-231.74251,72.52591239523991,146.93815908491226,34.57310450623162,-177.84150063341835,-272.10287,72.97606864012259,151.3953119855204,27.2088475916976,-238.38854684064822,-239.84058,73.4981596034307,159.29295906406557,-19.76827672054781,-300.698938991105,-184.1365,72.46389730515632,146.82729694195646,-24.356109960871,-17.008772668878066,-262.6800101041521,23323.87119915041,18762.690287799607,2871.0468454228067,-597.4109544430429,-4529.080812095591,-382.5206504776378,-620.6177954206279,219.28111761951266,-302.1519084616058,599407.9809312569,429374.62062829366,8006.540744680706,-153733.42435931496,-16913.48301913577,-27654.70212810049,387.64085441277643,-166.57700920711903,-264.21210861923305,100297.78030765172,62093.64066273487,5442.825046385932,-8668.979982207296,-2882.6742089533764,-5258.570505923453,102.07798438518796,-275.4283355767883,-163.2304002781455,28475.762695979072,27225.29875243887,3063.5375738099865,5257.495839768291,1587.3206783228713,-1551.5163465554774
27,70.55247996499705,133.6227379397762,-5.052776879758817,64.76705708791317,-251.2303,72.69582426652984,146.71982896698623,33.673505458377875,-197.10355479277695,-258.70752,73.14975677895907,151.21623338783436,21.98783731751922,-251.59061266846092,-223.7096,73.67592110537237,159.19231142383111,-26.515766842217687,-306.57807947238064,-168.38417,72.63474970362267,146.6072029569193,-1.8041816794718324,218.3959364313585,-191.37426520733345,23278.42512254951,18727.34517309962,2861.2021996274334,-616.4238820972548,-4510.103951480852,-367.0422132145925,-724.7824540709258,1059.7506193332051,-218.57970526059458,600347.5880503108,428258.3691317033,7991.176866585912,-153166.16908136688,-16797.8809762448,-27677.25969684548,222.82021672304165,-528.421792129152,-238.33581116571918,100009.24066396564,62049.76343606933,5432.085771437404,-8835.674576936955,-2819.5988292771367,-5260.154203579088,282.0719647894407,-403.65723305806375,-150.22802344338768,28429.218239822618,27142.30690056926,3061.5983640633676,5248.927775631845,1598.2957774326292,-1551.69368753598
