seconds,lat_1,lon_1,dbe_1,dbn_1,dbu_1,lat_2,lon_2,dbe_2,dbn_2,dbu_2,lat_3,lon_3,dbe_3,dbn_3,dbu_3,lat_4,lon_4,dbe_4,dbn_4,dbu_4,sat_lat,sat_lon,dbe_measured_1,dbn_measured_1,dbu_measured_1,cov_ee_1,cov_nn_1,cov_uu_1,cov_en_1,cov_eu_1,cov_nu_1,dbe_measured_2,dbn_measured_2,dbu_measured_2,cov_ee_2,cov_nn_2,cov_uu_2,cov_en_2,cov_eu_2,cov_nu_2,dbe_measured_3,dbn_measured_3,dbu_measured_3,cov_ee_3,cov_nn_3,cov_uu_3,cov_en_3,cov_eu_3,cov_nu_3,dbe_measured_4,dbn_measured_4,dbu_measured_4,cov_ee_4,cov_nn_4,cov_uu_4,cov_en_4,cov_eu_4,cov_nu_4
0,69.55403180245197,83.60139503485289,37.615536605594706,196.992899362181,-222.85576,69.87050589901617,96.91484610749005,14.21677607041943,223.1964479675348,-273.2861,69.76795023226131,100.93330931868822,21.496368374612715,244.98595687730128,-251.1475,69.39576745897568,107.51366845567341,55.473194007971365,328.3897362277556,-267.09534,69.7563031645594,96.7480807952667,-131.15625945579117,203.84494587303,-194.99908000410906,24201.48472642908,21843.003818300476,5552.5964416705165,1965.2621798643293,-8319.683216159297,-1182.1211319561496,-474.34011349931484,391.78540930454164,-259.48650795491926,121127.92369916949,181391.53709900624,9439.877907984082,-35494.73226538567,-18971.283390731296,-7949.115653424228,-614.065902529804,-801.4796992571352,-452.532602666447,66813.56221038652,63730.870325494434,7779.226874530881,11312.474423286349,-11718.179541027634,-7742.120602795616,-199.94924001431977,357.9994404946734,-249.935420195245,24286.573400866855,33921.02373253539,3276.862143472933,1952.362461226124,-1693.0300065402553,-2008.4331899248862
3,69.73522720729562,83.50691007038087,35.548933779932206,193.0630945770562,-229.01474,70.05278638198422,96.93716479374378,22.068388665147374,221.31065064283993,-285.87128,69.94860222112204,100.99062853019277,32.5258984820782,246.20288360345484,-266.2059,69.57174148373979,107.62498429294875,67.79443960734527,327.56007239584375,-290.63803,69.93954855991939,96.76878190476961,119.99312458456062,490.7140035647843,-138.62878180790244,24187.881613823363,21786.543442778824,5510.323346770986,1952.363859377697,-8275.002272005653,-1161.143478272018,-729.7034157214609,428.1974961161032,-130.2674441539611,122275.02019038716,183029.75118232056,9401.878743357838,-35969.034992371475,-18976.21404041181,-7989.556996897108,-177.31353781720395,270.79706228012884,-330.0425733132735,66806.84408176818,63545.68166782238,7728.4338947641345,11323.104588238644,-11617.830313184657,-7695.28849381935,-399.4639785806885,323.860931014883,-232.702400069364,24228.5557181231,33831.26594255714,3260.354151112926,1955.0292753233634,-1654.0951650905129,-1988.6126715613684
6,69.91588199256154,83.41107769196877,36.67079313394938,187.5077920420386,-237.39803,70.23509770160878,96.96016718938904,31.163517564693827,220.17451535839686,-299.2497,70.12935989102984,101.04925126365704,43.27432883595081,246.83322403492681,-281.30157,69.74801142671754,107.73875370147427,79.33798668258808,323.90589239587933,-316.25708,70.12279524987946,96.79008644882371,-143.70493145321825,40.94973253347794,-286.9739359203512,24174.881500529413,21730.536608295228,5468.59646287373,1938.6902502015037,-8230.655032785478,-1139.6235450678737,-121.78636415435489,-236.4871430794688,-293.03999092782465,123455.66809639779,184710.79798888956,9365.32886256772,-36458.96454785759,-18983.28524556027,-8033.907635751721,-418.125579201184,82.69276433537229,-343.51460228591486,66808.7972703647,63364.108826422605,7677.962483639319,11335.795583318077,-11517.661295145173,-7645.854454972853,170.7687251294837,289.61816992689,-287.7819276615437,24171.832881404924,33743.45743064184,3244.2575572929463,1958.1489635337518,-1615.541488592226,-1969.6280680622926
9,70.0965781040167,83.31365543145455,38.45821195537268,180.97053586938966,-246.89441,70.41737061293617,96.98375954100997,41.21072165859457,212.9877914934165,-315.66382,70.31004800334897,101.10913662590409,54.535739496847526,244.20911496241806,-300.51453,69.92407224938785,107.85460482283236,85.71429018866867,313.6718929943228,-341.40533,70.30602608807465,96.81197745096064,-185.64000381894397,14.46336281330305,-242.22159408606888,24162.205645626676,21675.106654573097,5427.354962409344,1924.7239348202888,-8186.671121093174,-1118.536005276488,97.21436231749945,277.01235174123826,-357.65980902539246,124666.17470126477,186426.02617529765,9329.289150772305,-36957.25684387544,-18992.34505009796,-8079.1985685268355,-668.1568423243884,104.44176169511688,-388.37947409022553,66808.30600498241,63181.680496523564,7628.304736860476,11346.360175385962,-11417.983547599846,-7598.441586855636,160.18764955420335,585.4075068033421,-330.41026762614104,24115.888296866702,33657.459595326516,3228.383113361026,1961.0333641140553,-1577.0174462425691,-1949.7293351310107
12,70.27717036856151,83.21460463870453,38.602854598107754,173.94026100278927,-255.60631,70.59962986904902,97.00800814530382,52.87765303836473,207.33755261068112,-333.8229,70.49073183969087,101.17039076006738,61.31032670478104,236.46967701074448,-322.49207,70.10006297544089,107.97278858889254,96.81826664900123,305.68243779504354,-368.92276,70.48925201729627,96.83449941787201,69.97656335155938,192.47424043634828,-300.34661157230664,24150.362325086597,21620.45468148007,5386.6322902574075,1910.704822776872,-8142.963478511247,-1097.0429993684934,-0.06316999930609768,36.441729849782234,-285.72842186443603,125906.14389016166,188176.4318040813,9293.462098977529,-37468.32436539883,-19002.12636676552,-8124.312862944987,-189.964225472022,18.5586162652599,-371.62018643165527,66810.59413798546,63002.66046366185,7579.265077802329,11357.852547711553,-11318.519571606306,-7550.6248551264525,5.917670552066022,38.42965640326774,-377.760375567129,24060.670402195214,33571.55960750884,3212.8699272073195,1963.2789942370357,-1538.846480362977,-1930.5922836782781
15,70.45810395942873,83.11371735852413,41.65199470847567,164.67906620079373,-265.78754,70.78187199089054,97.03291938382574,62.24264935183626,197.57766382699106,-350.42343,70.67122598273716,101.23290713744757,70.85989373983031,230.71687825742737,-345.97495,70.27564510337787,108.0930963692249,102.46755527558479,290.05821829761055,-392.89645,70.67246739969296,96.85765521254862,-80.84235987370764,-118.1416575282187,-351.1648432639905,24138.78871465057,21566.931383002877,5346.365361970212,1896.7983965863318,-8099.471654404626,-1075.8388205216165,-393.3437743349741,-201.69371088682095,-519.0638120609192,127180.39888078351,189970.24569520238,9259.082299417245,-37995.38919904809,-19014.171094016536,-8175.047708878786,-417.482886410425,191.94848904406615,-454.839188876457,66805.40229379522,62822.034210042766,7530.652168998206,11366.862633742217,-11217.962178384101,-7503.0882307736065,-61.884285619516206,326.8773577340701,-471.93744930814165,24005.520131546735,33488.32128255968,3197.5136729239744,1964.8013171659238,-1500.6944955822523,-1910.0317998829873
18,70.63855980937161,83.01134936684413,44.88849682155605,154.90716576277217,-276.23935,70.96409486530092,97.05850231423527,70.49946208080229,182.22114651122598,-367.30847,70.8518128038657,101.29686340683887,78.36450798208233,214.29446487400156,-366.02997,70.45142624448128,108.21597015805837,112.85326251568405,274.1349858184752,-420.67715,70.85566406468175,96.88144399051208,154.03323203637447,323.4879157434924,-222.49502475915037,24127.884520000272,21513.628502816227,5306.616953753117,1882.3472070686735,-8056.362501284516,-1054.2389905985638,223.05922588837115,277.5983562897062,-429.43885786436147,128483.54810128304,191797.41125931844,9224.839377199749,-38529.0688390822,-19028.252485182144,-8223.062195331146,535.3256933479813,516.8742986608884,-262.14668426797755,66807.34756956692,62648.151566799526,7483.02707970399,11376.634146737102,-11118.960102781852,-7456.639254827331,404.00782342041106,207.48373015146055,-441.9420416211175,23951.727005600278,33405.09519268464,3182.5521186383958,1966.6083849126626,-1463.159980385902,-1891.3451560714227
21,70.8224192471703,82.90441587325296,46.9572123995335,143.8719508121398,-284.9544,71.14637778943185,97.08403358960493,80.88558323402978,168.6790481489375,-388.21414,71.03139697956601,101.36113154169944,88.54667345905116,198.48437465508792,-389.0126,70.62445589263051,108.33862923850897,118.12985802236484,255.63785240414083,-443.39468,71.0389231580072,96.90514288733733,-303.2611183036753,-48.54447821211387,-296.5925110186822,24116.586708242834,21464.337930778092,5267.172104142992,1871.5248889540721,-8013.132849386643,-1035.468552053775,404.4824307184457,785.0581381026523,-159.53539771617847,129826.28518299786,193673.01310311258,9191.092346022604,-39081.80587821145,-19043.6993858432,-8270.160852125156,203.95755089905145,30.89713667999274,-483.4530210909813,66752.5520306379,62461.79461173293,7433.441137771676,11376.159213549932,-11009.258518973656,-7405.681229160185,-177.74495959989176,111.80072927728347,-496.62001953493603,23894.11295828959,33327.44879687267,3167.1126768757317,1961.461413100998,-1425.6261818288338,-1869.1847094853717
24,70.99946295605346,82.80116469594648,51.86435233023088,130.8286296354336,-294.2169,71.328503824275,97.11183282889746,89.5335905486602,148.73597434105483,-401.67706,71.21282495633483,101.42915568135011,96.17231283094937,179.61532189609323,-408.0939,70.80249086104813,108.46909446584955,127.15678577283424,232.5490152303335,-469.6389,71.2220368141792,96.93108664483431,-268.6557232353473,160.40294854577016,-264.0960649594291,24107.721568229914,21409.374151945125,5228.545969387716,1852.8198941508385,-7971.031019146979,-1011.1321349713814,346.756189712847,509.092747097584,-400.02020475401434,131202.83025646725,195585.84449039443,9158.105374055334,-39645.36428425217,-19061.245986754184,-8321.109182621267,25.25293671605467,443.0191592678252,-208.195963068852,66809.39576843605,62304.26622063589,7389.415328802365,11394.776945852847,-10920.766564920343,-7364.454405661706,-6.830397284443933,143.59349700374304,-402.9372839768143,23845.644634114375,33244.28415981017,3153.3980090579134,1969.1370658920623,-1388.2608112692224,-1852.159848924409
27,71.17970393560788,82.6933960014526,56.89490549575582,117.34942402013861,-303.79843,71.51068737072339,97.13961453931095,100.80923753571899,126.93331984813477,-418.555,71.3932906034128,101.49754059789073,103.62774125506155,154.1667778810164,-422.6848,70.97794561001349,108.5995661013317,135.7841698929295,207.8201129864015,-495.84253,71.4052064946585,96.95696698727853,214.8421567228152,319.64891330263697,-288.7967960675,24098.58097010301,21358.0084733031,5190.176396911752,1837.689670560237,-7928.765128851689,-989.3744048524958,-76.28620681376145,419.02207115375353,-451.9708828223039,132610.844586197,197542.7811516816,9125.912861792676,-40219.80046586498,-19080.089601483232,-8374.968631132982,-394.54550169123746,225.17853886435847,-347.34232983113884,66814.1160575094,62134.946337263136,7343.227830852163,11404.525673870356,-10821.315043214168,-7316.052810522351,338.89032651667867,204.1864812086908,-464.4277001775256,23793.883938245024,33166.085872742886,3139.2627365189205,1970.35058227813,-1351.1739230100507,-1832.6004040713813
