seconds,lat_1,lon_1,dbe_1,dbn_1,dbu_1,lat_2,lon_2,dbe_2,dbn_2,dbu_2,lat_3,lon_3,dbe_3,dbn_3,dbu_3,lat_4,lon_4,dbe_4,dbn_4,dbu_4,sat_lat,sat_lon,dbe_measured_1,dbn_measured_1,dbu_measured_1,cov_ee_1,cov_nn_1,cov_uu_1,cov_en_1,cov_eu_1,cov_nu_1,dbe_measured_2,dbn_measured_2,dbu_measured_2,cov_ee_2,cov_nn_2,cov_uu_2,cov_en_2,cov_eu_2,cov_nu_2,dbe_measured_3,dbn_measured_3,dbu_measured_3,cov_ee_3,cov_nn_3,cov_uu_3,cov_en_3,cov_eu_3,cov_nu_3,dbe_measured_4,dbn_measured_4,dbu_measured_4,cov_ee_4,cov_nn_4,cov_uu_4,cov_en_4,cov_eu_4,cov_nu_4
20,62.96562314188023,327.88535486989997,-1.5393551001805386,90.26612302554472,-96.51311,65.09367088390371,337.1432737773507,-121.0684084744714,98.13569509655382,-85.320335,65.61158028199868,340.2027257667352,-80.24804911845843,31.405156004989337,-142.74898,66.33293465861804,345.5727586284761,53.56282480691484,87.14280322258679,-117.20348,64.91899017088518,337.190673288035,-65.30447890569323,-133.5956972372399,-59.29358628960227,58630.62856197514,48377.386971828426,11300.957166849552,3446.4689578513244,-17759.588656314503,3577.167111187568,474.61807328746767,-827.2081019317949,-132.67433469289563,280958.48669872095,512374.2895137995,20369.100535141617,46163.6345491668,-49989.70331986273,11676.154613776698,65.18353428226186,301.00710806922103,27.306401376108425,146491.00585336098,114005.47877057262,14320.707831716905,9709.461039147804,-24067.7072234082,2286.8852162249495,29.120684299746774,-61.92389095983723,-142.04680830770283,60905.70072632688,65476.27678052479,6175.836300283488,10952.380989841384,-3918.16550016651,1901.6253533246404
22,63.07024552462448,327.74134084998065,-2.922300210314187,97.07376947621464,-99.99655,65.20581140620038,337.02753269669205,-129.58352388281892,103.92481343632521,-85.570244,65.72554084505806,340.0987387740317,-85.51776060109556,33.03132629704857,-150.68451,66.44925772580983,345.49172783000535,54.52613262685609,92.59138711572004,-118.15986,65.03143777371758,337.0754271532989,-156.11556179454024,64.02998452476146,-46.76501427849464,58495.17037116059,48203.768251927075,11210.523974881526,3416.539030756103,-17645.593763458386,3570.978362842627,-380.6412637815853,-429.104556291831,-234.97048958796393,282909.0045948447,516129.95564435987,20269.81939679216,46703.98621009706,-50027.295457049586,11690.778308840818,-141.0097229847102,-62.657907923234106,-235.796710451936,146347.55356153345,113625.34897446445,14220.451556925718,9544.084074325392,-23894.27979984171,2293.918252354575,-56.200030861523736,384.29459609541783,-169.09975572113325,60740.637634558436,65225.251940153605,6138.468016812491,10931.3494316857,-3847.3667975887697,1885.086086919135
24,63.17317219370106,327.59848008895716,-3.875798760588426,103.56181204721261,-104.01019,65.31786136645877,336.9108851526472,-141.79102650550567,111.10406112994175,-85.94515,65.83994064949908,339.9934369019832,-91.53973894933222,36.62207456173946,-160.41594,66.5669819982458,345.40905935085857,56.65145462936473,97.98229397652669,-120.17134,65.14381020936074,336.959277394945,-282.74339007032427,61.83986908331034,-148.6593302353839,58358.86555392471,48030.404908596676,11121.966680362282,3380.1639789313467,-17533.125879926607,3567.9356124003366,432.22382086191806,-18.31729805720457,-131.03763972356228,284888.2717238968,519934.9708089886,20171.252611061333,47256.87214904293,-50064.312320978876,11709.990545043818,371.35596115163827,-450.28991201879523,-289.65707041318655,146242.357572311,113252.00350235138,14123.262768530902,9366.157474480231,-23733.653215236605,2298.6041235477874,-255.66529844328454,112.29230922673698,-234.4564945778926,60584.40597074314,64966.63643701942,6101.568288395862,10911.676822277886,-3778.3515807060407,1864.9718105595045
26,63.27783654756702,327.4519858811428,-6.559749240910285,111.50321296568501,-106.76683,65.42983834962828,336.7933187885246,-154.69765820103314,119.02968417264354,-86.05701,65.95365840285078,339.88790039420076,-98.81757352436733,41.10121043086873,-169.71594,66.68293263126156,345.3269603911651,58.237205957888634,103.22462247105327,-122.55878,65.25610248320555,336.8422180233619,-13.630664134699938,392.3020511636803,-77.43943691457848,58223.677151716234,47857.96561506169,11032.962112106386,3350.4591478239813,-17419.516623009713,3562.182351717116,-104.33947488993215,519.4132185692858,-1.2568940235379298,286892.9820265078,523773.469292025,20073.278969928746,47816.76391219561,-50104.63868746222,11722.889067584745,401.04094705697054,-457.08210207565253,-132.8564479744133,146080.30019120523,112871.29487743121,14024.853733794233,9199.835478786887,-23562.205731214613,2302.1875961114492,301.65517834657703,17.256769204272327,-139.65562789131394,60420.15334052887,64719.06338399999,6065.074925933267,10891.064524107574,-3708.880584970562,1848.8164555392043
28,63.3832484646327,327.303149264336,-10.150783140342773,120.01823110552253,-108.633484,65.54171866389103,336.6747780628723,-167.5137131349358,127.98561847262228,-84.60156,66.0670100582506,339.7817264901131,-106.35523643699871,45.23976305430672,-179.8035,66.79801436795506,345.24475795032424,57.98147648433824,108.18893547457084,-124.13711,65.3683069361312,336.72418917780175,393.05720653364796,474.9859333485356,115.48816571534688,58087.66231898817,47686.44320820614,10944.635913760387,3323.22952859911,-17307.645850705925,3553.3667460867564,60.1920269676082,70.90256751023708,-212.1934314983143,288937.02994537127,527691.4559723746,19976.602123360346,48385.280894713025,-50143.12263824841,11748.702310267601,293.9299949983245,-241.54544648025743,-189.20924131622243,145890.51420825373,112486.55413397933,13925.960492905582,9038.91046682721,-23382.265280936255,2307.649368262946,-213.44144102147985,761.1637766213006,-30.686201301742873,60252.55996574143,64475.95410930952,6029.244007447262,10869.01767175263,-3637.912071770527,1835.9969743454637
30,63.485186963183885,327.15806398241983,-13.190113297916948,128.16264246114693,-111.01262,65.65351819732038,336.5553510842597,-180.59203226196146,137.61588844577955,-82.12506,66.18140061616654,339.67370478553346,-115.4092923378132,49.990365372359115,-188.92145,66.91611958922812,345.1597253737018,57.45845116756137,112.77989963167072,-125.39461,65.480428599247,336.60527284117114,-245.41544704471295,14.83402901577792,-57.24381949541707,57953.43353858744,47515.326748229134,10859.196288685616,3283.8254911714653,-17196.882396451,3553.1714529699334,-780.6091846953246,251.02538241102613,1.0898571442092355,290992.9851908828,531633.6216892722,19880.894030755626,48963.07135622256,-50188.27616607834,11757.300562181477,-43.63332143066278,-205.64946727594676,-307.1954537853879,145792.32411684896,112122.84668550541,13831.861265290352,8854.565827900124,-23223.62553758865,2313.644940492353,67.1218857161106,61.70751775798368,-203.73430830822852,60101.776300373385,64215.04477935416,5993.813562194214,10849.321085395619,-3570.411579540208,1815.4889443801378
32,63.58998541860714,327.00750211867523,-17.06554595029206,136.89315002610488,-112.58752,65.76523545210956,336.4348935012315,-195.586482803296,148.65775932376852,-78.56897,66.29471810235823,339.5656923186705,-124.79998930235699,55.25042472519408,-198.19052,67.03139954375263,345.07599171514835,55.654717390076996,117.33151242402934,-126.251625,65.59246883591399,336.4853425025247,15.740038313776534,-37.86615562168222,-246.32241779901952,57817.854891476745,47345.37582597588,10772.698606210452,3254.8693888572966,-17085.509104705317,3546.4352342546017,1190.547355540266,575.9253627476478,157.7328483588323,293080.47433709475,535638.7825445419,19785.860341074836,49546.493381658714,-50230.66632842707,11777.979785097408,-150.0693885855722,247.9629388910698,-51.23241791594159,145605.89932103283,111741.73150727374,13735.575936508885,8689.06513758667,-23047.97394490067,2317.7645017076243,110.7019516071219,245.83063738407398,-94.04552407158405,59938.14790305875,63971.6401376246,5958.853793433489,10828.213924500105,-3500.723470502506,1802.1701020067103
34,63.69353279056466,326.8575135451839,-20.69435612723748,145.43749834010586,-114.688614,65.87684263636933,336.31347853948114,-213.8419788316331,162.1066080866659,-71.72468,66.40831859738944,339.45647096163646,-135.97455308339556,62.225277908590705,-205.26341,67.1476626075528,344.9908304430147,55.031576323015315,121.97286054907177,-128.18655,65.70442009067283,336.3644744165772,176.78725349416735,380.54349596605687,-166.543016040224,57682.43668702041,47176.01199005062,10687.915650824309,3221.14134145099,-16975.667448637232,3542.0234140756916,413.9006962376505,-376.32418047958146,-172.1946950965318,295205.3028018528,539694.6589769108,19691.515460261762,50148.24436413403,-50274.55961040408,11797.83106404298,208.3070923634712,183.40995841322814,-176.0489796209384,145444.09041307293,111369.43243342641,13641.503789501836,8515.717872283212,-22880.05925597063,2321.2805067952254,484.87655245014724,273.05753096435836,-226.82983298021335,59780.187493350095,63722.72949066521,5924.20589257018,10807.035042538717,-3433.829301758401,1784.936545619326
36,63.796597065383025,326.7069346602451,-26.408798843524668,154.46961926841547,-115.126625,65.98838453685691,336.19110319664844,-230.55252661118507,176.43175143588724,-63.50574,66.52197388070154,339.34622911311334,-148.01950740625935,69.075865237815,-212.44125,67.26418514140491,344.9047490019659,53.064611569163816,126.68598271701451,-129.70422,65.81628575326344,336.2426232030967,-273.1657812817422,182.34608768726827,-159.8555865872746,57547.80244633305,47006.86519992131,10604.095378414537,3185.933371953216,-16866.374221242073,3538.7753104219423,-141.49659088257226,1108.5352708103867,-40.14595091525375,297338.5949849265,543788.6213703321,19597.973093818597,50748.44078135542,-50321.72438006369,11810.839759633822,-125.08420987577081,-389.2173176114653,-175.73226373725876,145292.51596680004,110998.86556652082,13548.228345331228,8338.230790400332,-22710.330306118303,2328.220708671509,-192.15307607539444,-4.266903620671104,-241.74894098520656,59625.310667012454,63473.25040471684,5890.048249875807,10786.73343727898,-3367.1806997502304,1767.556145970402
38,63.89566209892111,326.56081007952116,-32.65444877003023,163.53847912582506,-114.6528,66.09980811814584,336.0675549673655,-246.7711622389793,191.40867888078606,-52.725315,66.6368224116061,339.23366072048356,-161.3062683337587,76.07884826972455,-220.76527,67.38418146422326,344.81513032875694,50.39379275372752,130.6508823736364,-130.82938,65.92804900470055,336.11963002185655,-30.42324242295985,184.39884100197617,-69.47403032986878,57415.63067066229,46838.38980620474,10523.26965881918,3137.152586951803,-16758.181993860373,3545.054871274042,-328.2570024533028,-38.5862459061553,-162.5187524910402,299528.44921695394,547953.9089496714,19504.612230570237,51375.37090857959,-50363.32153628507,11838.408737757896,-56.302445409584536,43.16988931107003,-337.13945368453767,145242.38743481712,110650.2293330098,13459.616717634954,8131.8876930050155,-22561.419280218586,2338.312192351423,-266.5015693071179,549.8940593846104,-261.15693868272757,59490.932795789,63203.856116252166,5856.492531848192,10769.585429413202,-3302.6382265169173,1743.3772507905596
